,Date,Inflation,Unemployment Rate (%),Interest Rate (%)
272,2000-09-29,0.5211349160393786,3.9,6.52
273,2000-09-30,0.5211349160393786,3.9,6.52
274,2000-10-01,0.1728110599078514,3.9,6.51
275,2000-10-02,0.1728110599078514,3.9,6.51
276,2000-10-03,0.1728110599078514,3.9,6.51
277,2000-10-04,0.1728110599078514,3.9,6.51
278,2000-10-05,0.1728110599078514,3.9,6.51
279,2000-10-06,0.1728110599078514,3.9,6.51
280,2000-10-07,0.1728110599078514,3.9,6.51
281,2000-10-08,0.1728110599078514,3.9,6.51
282,2000-10-09,0.1728110599078514,3.9,6.51
283,2000-10-10,0.1728110599078514,3.9,6.51
284,2000-10-11,0.1728110599078514,3.9,6.51
285,2000-10-12,0.1728110599078514,3.9,6.51
286,2000-10-13,0.1728110599078514,3.9,6.51
287,2000-10-14,0.1728110599078514,3.9,6.51
288,2000-10-15,0.1728110599078514,3.9,6.51
289,2000-10-16,0.1728110599078514,3.9,6.51
290,2000-10-17,0.1728110599078514,3.9,6.51
291,2000-10-18,0.1728110599078514,3.9,6.51
292,2000-10-19,0.1728110599078514,3.9,6.51
293,2000-10-20,0.1728110599078514,3.9,6.51
294,2000-10-21,0.1728110599078514,3.9,6.51
295,2000-10-22,0.1728110599078514,3.9,6.51
296,2000-10-23,0.1728110599078514,3.9,6.51
297,2000-10-24,0.1728110599078514,3.9,6.51
298,2000-10-25,0.1728110599078514,3.9,6.51
299,2000-10-26,0.1728110599078514,3.9,6.51
300,2000-10-27,0.1728110599078514,3.9,6.51
301,2000-10-28,0.1728110599078514,3.9,6.51
302,2000-10-29,0.1728110599078514,3.9,6.51
303,2000-10-30,0.1728110599078514,3.9,6.51
304,2000-10-31,0.1728110599078514,3.9,6.51
305,2000-11-01,0.17251293847038163,3.9,6.51
306,2000-11-02,0.17251293847038163,3.9,6.51
307,2000-11-03,0.17251293847038163,3.9,6.51
308,2000-11-04,0.17251293847038163,3.9,6.51
309,2000-11-05,0.17251293847038163,3.9,6.51
310,2000-11-06,0.17251293847038163,3.9,6.51
311,2000-11-07,0.17251293847038163,3.9,6.51
312,2000-11-08,0.17251293847038163,3.9,6.51
313,2000-11-09,0.17251293847038163,3.9,6.51
314,2000-11-10,0.17251293847038163,3.9,6.51
315,2000-11-11,0.17251293847038163,3.9,6.51
316,2000-11-12,0.17251293847038163,3.9,6.51
317,2000-11-13,0.17251293847038163,3.9,6.51
318,2000-11-14,0.17251293847038163,3.9,6.51
319,2000-11-15,0.17251293847038163,3.9,6.51
320,2000-11-16,0.17251293847038163,3.9,6.51
321,2000-11-17,0.17251293847038163,3.9,6.51
322,2000-11-18,0.17251293847038163,3.9,6.51
323,2000-11-19,0.17251293847038163,3.9,6.51
324,2000-11-20,0.17251293847038163,3.9,6.51
325,2000-11-21,0.17251293847038163,3.9,6.51
326,2000-11-22,0.17251293847038163,3.9,6.51
327,2000-11-23,0.17251293847038163,3.9,6.51
328,2000-11-24,0.17251293847038163,3.9,6.51
329,2000-11-25,0.17251293847038163,3.9,6.51
330,2000-11-26,0.17251293847038163,3.9,6.51
331,2000-11-27,0.17251293847038163,3.9,6.51
332,2000-11-28,0.17251293847038163,3.9,6.51
333,2000-11-29,0.17251293847038163,3.9,6.51
334,2000-11-30,0.17251293847038163,3.9,6.51
335,2000-12-01,0.22962112514350874,3.9,6.4
336,2000-12-02,0.22962112514350874,3.9,6.4
337,2000-12-03,0.22962112514350874,3.9,6.4
338,2000-12-04,0.22962112514350874,3.9,6.4
339,2000-12-05,0.22962112514350874,3.9,6.4
340,2000-12-06,0.22962112514350874,3.9,6.4
341,2000-12-07,0.22962112514350874,3.9,6.4
342,2000-12-08,0.22962112514350874,3.9,6.4
343,2000-12-09,0.22962112514350874,3.9,6.4
344,2000-12-10,0.22962112514350874,3.9,6.4
345,2000-12-11,0.22962112514350874,3.9,6.4
346,2000-12-12,0.22962112514350874,3.9,6.4
347,2000-12-13,0.22962112514350874,3.9,6.4
348,2000-12-14,0.22962112514350874,3.9,6.4
349,2000-12-15,0.22962112514350874,3.9,6.4
350,2000-12-16,0.22962112514350874,3.9,6.4
